0,	94225
1,	144751
2,	184951
3,	219990
4,	253054
5,	284107
6,	311716
7,	340024
8,	367033
9,	393367
10,	419973
11,	446403
12,	471331
13,	499374
14,	525241
15,	552992
16,	577976
17,	605928
18,	632024
19,	661611
20,	688484
21,	719267
22,	749276
23,	777557
24,	812735
25,	842619
26,	877937
27,	913288
28,	952542
29,	988443
30,	1029986
31,	1073199
32,	1118944
33,	1167812
34,	1220506
35,	1278361
36,	1340175
37,	1411293
38,	1485947
39,	1570232
40,	1661215
41,	1760498
42,	1864042
43,	1972336
44,	2079854
45,	2183539
46,	2278700
47,	2349185
48,	2405176
49,	2434924
50,	2433522
51,	2404553
52,	2353346
53,	2276946
54,	2185118
55,	2083444
56,	1975442
57,	1865538
58,	1759694
59,	1661786
60,	1570758
61,	1483735
62,	1407706
63,	1339936
64,	1276982
65,	1220028
66,	1167393
67,	1118945
68,	1072723
69,	1028953
70,	991596
71,	950365
72,	913168
73,	879447
74,	843762
75,	813481
76,	780268
77,	749475
78,	719927
79,	688952
80,	660225
81,	632465
82,	604966
83,	578864
84,	551427
85,	525693
86,	498333
87,	473341
88,	447676
89,	420786
90,	394699
91,	367187
92,	339791
93,	312145
94,	283019
95,	252552
96,	220415
97,	185715
98,	145326
99,	94243
100,	0
